# VulnTrends — Vulnerability backlog (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,openCount
1996-02,Microsoft,1
1996-08,Adobe,1
1996-08,Microsoft,1
1997-01,Adobe,1
1997-01,Microsoft,3
1997-03,Adobe,1
1997-03,Microsoft,4
1997-04,Adobe,1
1997-04,Microsoft,5
1997-06,Adobe,1
1997-06,Microsoft,6
1997-07,Adobe,1
1997-07,Microsoft,7
1997-07,Oracle,1
1997-08,Adobe,1
1997-08,Microsoft,8
1997-08,Oracle,1
1997-09,Adobe,1
1997-09,Microsoft,9
1997-09,Oracle,2
1997-10,Adobe,1
1997-10,Microsoft,10
1997-10,Oracle,2
1997-11,Adobe,1
1997-11,Microsoft,11
1997-11,Oracle,2
1997-12,Adobe,1
1997-12,Microsoft,12
1997-12,Oracle,2
1998-01,Adobe,1
1998-01,Microsoft,14
1998-01,Oracle,2
1998-02,Adobe,1
1998-02,Microsoft,15
1998-02,Oracle,2
1998-04,Adobe,1
1998-04,Apple,2
1998-04,Microsoft,16
1998-04,Oracle,2
1998-06,Adobe,1
1998-06,Apple,2
1998-06,Microsoft,19
1998-06,Oracle,2
1998-07,Adobe,1
1998-07,Apple,2
1998-07,Cisco,1
1998-07,Microsoft,20
1998-07,Oracle,2
1998-09,Adobe,1
1998-09,Apple,3
1998-09,Cisco,1
1998-09,Microsoft,21
1998-09,Oracle,2
1998-10,Adobe,1
1998-10,Apple,3
1998-10,Cisco,1
1998-10,Microsoft,22
1998-10,Oracle,2
1998-11,Adobe,1
1998-11,Apple,3
1998-11,Cisco,1
1998-11,Microsoft,23
1998-11,Oracle,2
1998-12,Adobe,1
1998-12,Apple,3
1998-12,Cisco,1
1998-12,Microsoft,26
1998-12,Oracle,3
1999-01,Adobe,1
1999-01,Apple,3
1999-01,Cisco,1
1999-01,Microsoft,38
1999-01,Oracle,3
1999-02,Adobe,1
1999-02,Apple,3
1999-02,Cisco,1
1999-02,Microsoft,44
1999-02,Oracle,3
1999-03,Adobe,1
1999-03,Apple,3
1999-03,Cisco,2
1999-03,Microsoft,48
1999-03,Oracle,4
1999-04,Adobe,1
1999-04,Apple,3
1999-04,Cisco,2
1999-04,Microsoft,52
1999-04,Oracle,5
1999-05,Adobe,1
1999-05,Apple,3
1999-05,Cisco,2
1999-05,Microsoft,66
1999-05,Oracle,5
1999-06,Adobe,1
1999-06,Apple,3
1999-06,Cisco,2
1999-06,Microsoft,68
1999-06,Oracle,5
1999-07,Adobe,1
1999-07,Apple,3
1999-07,Cisco,2
1999-07,Microsoft,72
1999-07,Oracle,5
1999-08,Adobe,1
