# VulnTrends — Vulnerabilities discovered (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
1996-02,Microsoft,1
1996-08,Adobe,1
1997-01,Microsoft,2
1997-03,Microsoft,1
1997-04,Microsoft,1
1997-06,Microsoft,1
1997-07,Microsoft,1
1997-07,Oracle,1
1997-08,Microsoft,1
1997-09,Microsoft,1
1997-09,Oracle,1
1997-10,Microsoft,1
1997-11,Microsoft,1
1997-12,Microsoft,1
1998-01,Microsoft,2
1998-02,Microsoft,1
1998-04,Apple,2
1998-04,Microsoft,1
1998-06,Microsoft,3
1998-07,Cisco,1
1998-07,Microsoft,1
1998-09,Apple,1
1998-09,Microsoft,1
1998-10,Microsoft,1
1998-11,Microsoft,1
1998-12,Microsoft,3
1998-12,Oracle,1
1999-01,Microsoft,12
1999-02,Microsoft,6
1999-03,Cisco,1
1999-03,Microsoft,4
1999-03,Oracle,1
1999-04,Microsoft,4
1999-04,Oracle,1
1999-05,Microsoft,14
1999-06,Microsoft,2
1999-07,Microsoft,4
1999-08,Cisco,1
1999-08,Microsoft,10
1999-08,Oracle,1
1999-09,Adobe,1
1999-09,Microsoft,11
1999-10,Microsoft,5
1999-11,Microsoft,7
1999-11,Oracle,1
1999-12,Cisco,3
1999-12,Microsoft,27
2000-01,Microsoft,13
2000-01,Oracle,1
2000-02,Microsoft,10
2000-02,Oracle,1
2000-03,Cisco,1
2000-03,Microsoft,9
2000-03,Oracle,2
2000-04,Apple,1
2000-04,Cisco,1
2000-04,Microsoft,7
2000-05,Apple,1
2000-05,Cisco,1
2000-05,Microsoft,15
2000-06,Microsoft,6
2000-07,Microsoft,10
2000-07,Oracle,1
2000-10,Adobe,1
2000-10,Apple,1
2000-10,Microsoft,13
2000-11,Microsoft,4
2000-12,Cisco,4
2000-12,Microsoft,12
2000-12,Oracle,6
2001-01,Microsoft,14
2001-01,Oracle,3
2001-02,Apple,1
2001-02,Microsoft,10
2001-02,Oracle,2
2001-03,Microsoft,3
2001-03,Oracle,2
2001-04,Microsoft,1
2001-05,Apple,1
2001-05,Microsoft,5
2001-05,Oracle,1
2001-06,Cisco,1
2001-06,Microsoft,21
2001-06,Oracle,2
2001-07,Microsoft,10
2001-07,Oracle,11
2001-07,Samsung,1
2001-08,Adobe,1
2001-08,Microsoft,2
2001-08,Oracle,4
2001-09,Apple,1
2001-09,Cisco,1
2001-09,Microsoft,14
2001-10,Cisco,4
2001-10,Microsoft,11
2001-10,Oracle,1
2001-11,Microsoft,6
2001-11,Oracle,2
2001-12,Apple,3
2001-12,Microsoft,17
2001-12,Oracle,6
