# VulnTrends — Vulnerabilities fixed (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2005-01,Mozilla,12
2005-02,Mozilla,17
2005-03,Mozilla,3
2005-04,Mozilla,9
2005-05,Mozilla,3
2005-07,Mozilla,12
2005-09,Mozilla,3
2006-04,Mozilla,28
2006-07,Mozilla,14
2006-09,Mozilla,10
2006-12,Mozilla,11
2007-02,Mozilla,15
2007-03,Mozilla,1
2007-05,Mozilla,7
2007-07,Mozilla,10
2007-09,Mozilla,1
2007-10,Mozilla,10
2007-11,Mozilla,3
2007-12,Mozilla,1
2008-02,Mozilla,2
2008-03,Mozilla,10
2008-04,Mozilla,2
2008-07,Mozilla,4
2008-09,Mozilla,17
2008-11,Mozilla,15
2008-12,Mozilla,13
2009-03,Mozilla,2
2009-04,Mozilla,13
2009-06,Mozilla,12
2009-07,Mozilla,12
2009-10,Mozilla,17
2009-12,Mozilla,11
2010-02,Mozilla,5
2010-03,Mozilla,26
2010-06,Mozilla,13
2010-07,Mozilla,17
2010-10,Mozilla,13
2011-03,Mozilla,4
2011-04,Mozilla,19
2011-06,Mozilla,17
2011-08,Mozilla,17
2011-09,Mozilla,15
2011-12,Mozilla,7
2012-01,Mozilla,10
2012-02,Mozilla,2
2012-03,Mozilla,12
2012-04,Mozilla,33
2012-06,Mozilla,1
2012-07,Mozilla,19
2012-08,Mozilla,32
2012-09,Mozilla,1
2012-10,Mozilla,7
2012-11,Mozilla,28
2013-02,Mozilla,14
2013-05,Mozilla,15
2013-06,Mozilla,17
2013-09,Mozilla,19
2013-10,Mozilla,15
2013-11,Mozilla,5
2013-12,Mozilla,16
2014-03,Mozilla,21
2014-04,Mozilla,15
2014-06,Mozilla,11
2014-07,Mozilla,14
2014-09,Mozilla,1
2014-10,Mozilla,12
2015-01,Mozilla,10
2015-02,Mozilla,17
2015-03,Mozilla,19
2015-04,Mozilla,1
2015-05,Mozilla,14
2015-08,Mozilla,23
2015-09,Mozilla,28
2015-10,Mozilla,1
2015-12,Mozilla,24
2016-01,Mozilla,18
2016-02,Mozilla,2
2016-04,Mozilla,14
2016-09,Mozilla,20
2016-10,Mozilla,2
2016-11,Mozilla,30
2016-12,Mozilla,14
2017-01,Mozilla,24
2017-03,Mozilla,1
2017-04,Mozilla,42
2017-06,Mozilla,31
2017-08,Mozilla,16
2017-09,Microsoft,27
2017-09,Mozilla,18
2017-11,Mozilla,17
2017-12,Mozilla,5
2018-01,Mozilla,34
2018-03,Mozilla,23
2018-05,Mozilla,13
2018-06,Mozilla,4
2018-08,Mozilla,14
2018-09,Mozilla,2
2018-10,Mozilla,15
2018-12,Mozilla,12
2019-01,Mozilla,10
2019-02,Mozilla,4
2019-03,Mozilla,23
2019-05,Mozilla,24
2019-06,Mozilla,7
2019-08,Mozilla,20
2019-09,Mozilla,9
2019-10,Mozilla,16
2020-01,Mozilla,7
2020-02,Mozilla,10
2020-03,Mozilla,12
2020-05,Mozilla,1
2020-06,Mozilla,2
2020-07,Mozilla,29
2020-08,Mozilla,11
2020-09,Microsoft,45
2020-09,Mozilla,6
2020-10,Microsoft,1
2020-10,Mozilla,7
2020-11,Microsoft,1
2020-11,Mozilla,20
2020-12,Mozilla,13
2021-01,Microsoft,100
2021-01,Mozilla,15
2021-02,Mozilla,13
2021-03,Mozilla,11
2021-04,Mozilla,20
2021-05,Mozilla,2
2021-06,Mozilla,1
