# VulnTrends — Patch lag (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,medianLagDays,p90LagDays,knownCount,totalCount
2005-01,Mozilla,0,0,0,12
2005-02,Mozilla,0,0,0,17
2005-03,Mozilla,0,0,0,3
2005-04,Mozilla,0,0,0,9
2005-05,Mozilla,0,0,0,3
2005-07,Mozilla,0,0,0,12
2005-09,Mozilla,0,0,0,3
2006-04,Mozilla,0,0,0,28
2006-07,Mozilla,0,0,0,14
2006-09,Mozilla,0,0,0,10
2006-12,Mozilla,0,0,0,11
2007-02,Mozilla,51,51,1,15
2007-03,Mozilla,0,0,0,1
2007-05,Mozilla,0,0,0,7
2007-07,Mozilla,0,0,0,10
2007-09,Mozilla,358,358,1,1
2007-10,Mozilla,175,175,1,10
2007-11,Mozilla,0,0,0,3
2007-12,Mozilla,162,162,1,1
2008-02,Mozilla,0,0,0,2
2008-03,Mozilla,0,0,0,10
2008-04,Mozilla,0,0,0,2
2008-07,Mozilla,0,0,0,4
2008-09,Mozilla,0,0,0,17
2008-11,Mozilla,0,0,0,15
2008-12,Mozilla,0,0,0,13
2009-03,Mozilla,0,0,0,2
2009-04,Mozilla,0,0,0,13
2009-06,Mozilla,0,0,0,12
2009-07,Mozilla,0,0,0,12
2009-10,Mozilla,0,0,0,17
2009-12,Mozilla,0,0,0,11
2010-02,Mozilla,0,0,0,5
2010-03,Mozilla,0,0,0,26
2010-06,Mozilla,0,0,0,13
2010-07,Mozilla,20,20,1,17
2010-10,Mozilla,0,0,0,13
2011-03,Mozilla,0,0,0,4
2011-04,Mozilla,0,0,0,19
2011-06,Mozilla,0,0,0,17
2011-08,Mozilla,0,0,0,17
2011-09,Mozilla,0,0,0,15
2011-12,Mozilla,0,0,0,7
2012-01,Mozilla,0,0,0,10
2012-02,Mozilla,0,0,0,2
2012-03,Mozilla,0,0,0,12
2012-04,Mozilla,0,0,0,33
2012-06,Mozilla,0,0,0,1
2012-07,Mozilla,0,0,0,19
2012-08,Mozilla,0,0,0,32
2012-09,Mozilla,0,0,0,1
2012-10,Mozilla,0,0,0,7
2012-11,Mozilla,0,0,0,28
2013-02,Mozilla,0,0,0,14
2013-05,Mozilla,0,0,0,15
2013-06,Mozilla,0,0,0,17
2013-09,Mozilla,0,0,0,19
2013-10,Mozilla,0,0,0,15
2013-11,Mozilla,245,245,1,5
2013-12,Mozilla,0,0,0,16
2014-03,Mozilla,0,0,0,21
2014-04,Mozilla,0,0,0,15
2014-06,Mozilla,0,0,0,11
2014-07,Mozilla,0,0,0,14
2014-09,Mozilla,0,0,0,1
2014-10,Mozilla,0,0,0,12
2015-01,Mozilla,0,0,0,10
2015-02,Mozilla,0,0,0,17
2015-03,Mozilla,0,0,0,19
2015-04,Mozilla,0,0,0,1
2015-05,Mozilla,0,0,0,14
2015-08,Mozilla,0,0,0,23
2015-09,Mozilla,0,0,0,28
2015-10,Mozilla,0,0,0,1
2015-12,Mozilla,0,0,0,24
2016-01,Mozilla,0,0,0,18
2016-02,Mozilla,0,0,0,2
2016-04,Mozilla,0,0,0,14
2016-09,Mozilla,0,0,0,20
2016-10,Mozilla,0,0,0,2
2016-11,Mozilla,0,0,0,30
2016-12,Mozilla,0,0,0,14
2017-01,Mozilla,0,0,0,24
2017-03,Mozilla,0,0,0,1
2017-04,Mozilla,0,0,0,42
2017-06,Mozilla,0,0,0,31
2017-08,Mozilla,0,0,0,16
2017-09,Microsoft,399,399,27,27
2017-09,Mozilla,0,0,0,18
2017-11,Mozilla,0,0,0,17
2017-12,Mozilla,0,0,0,5
2018-01,Mozilla,0,0,0,34
2018-03,Mozilla,0,0,0,23
2018-05,Mozilla,0,0,0,13
2018-06,Mozilla,0,0,0,4
2018-08,Mozilla,0,0,0,14
2018-09,Mozilla,0,0,0,2
2018-10,Mozilla,0,0,0,15
2018-12,Mozilla,0,0,0,12
2019-01,Mozilla,0,0,0,10
2019-02,Mozilla,0,0,0,4
2019-03,Mozilla,0,0,0,23
2019-05,Mozilla,0,0,0,24
2019-06,Mozilla,0,0,0,7
2019-08,Mozilla,0,0,0,20
2019-09,Mozilla,0,0,0,9
2019-10,Mozilla,0,0,0,16
2020-01,Mozilla,0,0,0,7
2020-02,Mozilla,0,0,0,10
2020-03,Mozilla,0,0,0,12
2020-05,Mozilla,0,0,0,1
2020-06,Mozilla,0,0,0,2
2020-07,Mozilla,8,8,1,29
2020-08,Mozilla,0,0,0,11
2020-09,Microsoft,1445,1445,34,45
2020-09,Mozilla,0,0,0,6
2020-10,Microsoft,0,0,0,1
2020-10,Mozilla,0,0,0,7
2020-11,Microsoft,0,0,0,1
2020-11,Mozilla,0,0,0,20
2020-12,Mozilla,0,0,0,13
2021-01,Microsoft,1325,1325,99,100
2021-01,Mozilla,0,0,0,15
2021-02,Mozilla,0,0,0,13
2021-03,Mozilla,0,0,0,11
2021-04,Mozilla,0,0,0,20
2021-05,Mozilla,0,0,0,2
2021-06,Mozilla,0,0,0,1
2021-07,Microsoft,1858,1858,37,39
2021-07,Mozilla,0,0,0,12
2021-08,Mozilla,0,0,0,12
2021-12,Microsoft,1192,1192,64,66
2021-12,Mozilla,0,0,0,2
2022-01,Mozilla,0,0,0,19
2022-02,Mozilla,0,0,0,2
2022-05,Microsoft,1,1,1,1
2022-05,Mozilla,0,0,0,15
2022-06,Mozilla,0,0,0,22
2022-07,Mozilla,0,0,0,8
2022-08,Mozilla,0,0,0,8
2022-09,Mozilla,0,0,0,15
2022-10,Mozilla,0,0,0,8
2022-11,Mozilla,0,0,0,22
2022-12,Mozilla,0,0,0,9
2023-01,Mozilla,0,0,0,25
2023-02,Mozilla,0,0,0,22
2023-03,Fortinet,0,0,0,1
2023-03,Mozilla,0,0,0,13
2023-04,Fortinet,1,1,1,1
2023-04,Mozilla,0,0,0,26
2023-05,Fortinet,12,12,1,1
2023-05,Mozilla,0,0,0,8
2023-06,Fortinet,84,98,2,2
2023-07,Mozilla,0,0,0,2
2023-08,Microsoft,1876,1876,57,58
2023-08,Mozilla,0,0,0,16
2023-09,Mozilla,0,0,0,12
2023-10,Fortinet,20,20,1,5
2023-10,Mozilla,0,0,0,13
2023-11,Fortinet,156,156,1,17
2023-11,Mozilla,0,0,0,12
2023-12,Fortinet,0,0,0,9
2023-12,Mozilla,0,0,0,22
2024-01,Apple,53,53,2,24
2024-01,Fortinet,57,113,3,5
2024-01,Mozilla,0,0,0,16
2024-02,Fortinet,0,0,0,3
2024-02,Mozilla,0,0,0,17
2024-03,Apple,0,0,0,86
2024-03,Fortinet,56,56,1,3
2024-03,Mozilla,0,0,0,15
2024-04,Fortinet,34,60,2,2
2024-04,Mozilla,0,0,0,16
2024-05,Apple,0,0,0,42
2024-05,Fortinet,103,103,1,1
2024-05,Mozilla,0,0,0,18
2024-06,Apple,0,0,0,25
2024-06,Fortinet,79,99,2,2
2024-06,Microsoft,2273,2791,152,152
2024-06,Mozilla,0,0,0,18
2024-07,Apple,0,0,0,77
2024-07,Fortinet,10,10,1,1
2024-07,Mozilla,0,0,0,16
2024-08,Fortinet,218,246,3,3
2024-09,Apple,0,0,0,114
2024-09,Fortinet,7,85,3,3
2024-09,Mozilla,0,0,0,17
2024-10,Apple,1,1,2,103
2024-10,Fortinet,375,498,2,2
2024-10,Mozilla,0,0,0,16
2024-11,Apple,0,0,0,2
2024-11,Fortinet,3,35,5,5
2024-11,Microsoft,2988,2988,48,48
2024-11,Mozilla,0,0,0,18
2024-12,Apple,0,0,0,74
2024-12,Fortinet,204,237,3,3
2024-12,Mozilla,0,0,0,3
2025-01,Apple,0,0,0,68
2025-01,Fortinet,318,463,9,9
2025-01,Mozilla,0,0,0,2
2025-02,Fortinet,172,343,2,2
2025-02,Microsoft,1153,1153,2,3
2025-02,Mozilla,0,0,0,4
2025-03,Apple,109,109,4,133
2025-03,Fortinet,65,1606,9,9
2025-03,Mozilla,0,0,0,14
2025-04,Apple,1,64,9,47
2025-04,Fortinet,92,125,3,3
2025-04,Microsoft,0,0,0,2
2025-04,Mozilla,0,0,0,18
2025-05,Apple,42,42,1,69
2025-05,Fortinet,75,358,8,8
2025-05,Microsoft,1705,1705,1,1
2025-05,Mozilla,0,0,0,19
2025-06,Apple,0,0,0,2
2025-06,Fortinet,609,609,1,1
2025-06,Microsoft,58,58,1,1
2025-06,Mozilla,0,0,0,16
2025-07,Apple,0,0,0,95
2025-07,Fortinet,10,360,3,3
2025-07,Mozilla,0,0,0,22
2025-08,Fortinet,1,1,2,2
2025-08,Mozilla,0,0,0,15
2025-09,Apple,0,0,0,97
2025-09,Fortinet,97,97,1,1
2025-09,Microsoft,5544,5544,1,2
2025-09,Mozilla,0,0,0,15
2025-10,Fortinet,99,196,2,2
2025-10,Microsoft,2304,3123,574,612
2025-10,Mozilla,0,0,0,15
2025-11,Apple,1,1,12,130
2025-11,Fortinet,3,118,3,3
2025-11,Mozilla,0,0,0,16
2025-12,Apple,0,0,0,48
