# VulnTrends — Severity mix (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,severity,count
1998-02,high,1
1999-04,high,1
2000-04,high,1
2001-06,high,1
2001-10,high,1
2001-12,medium,1
2002-10,high,1
2002-12,high,4
2002-12,medium,1
2003-06,high,1
2004-07,high,1
2004-08,critical,1
2004-08,high,1
2004-11,critical,1
2004-11,high,1
2004-12,critical,1
2004-12,high,1
2005-06,high,2
2005-07,medium,1
2006-03,high,1
2006-05,high,1
2006-07,high,1
2006-10,medium,1
2007-01,high,1
2007-02,high,1
2007-02,medium,1
2007-07,high,1
2007-10,medium,1
2008-01,critical,1
2008-02,high,3
2008-02,medium,1
2008-07,medium,1
2008-08,high,1
2008-08,medium,1
2008-10,high,1
2008-10,medium,1
2008-11,high,2
2008-11,medium,1
2009-01,high,1
2009-02,high,2
2009-03,high,1
2009-04,high,3
2009-05,high,1
2009-06,high,7
2009-07,high,3
2009-07,medium,1
2009-08,medium,1
2009-09,high,1
2009-10,high,4
2009-11,high,2
2009-12,high,3
2010-01,high,4
2010-02,high,1
2010-02,medium,1
2010-03,high,7
2010-03,medium,1
2010-04,critical,1
2010-05,high,8
2010-05,medium,1
2010-06,critical,1
2010-06,high,2
2010-06,medium,1
2010-08,critical,1
2010-09,high,1
2010-10,high,2
2010-10,medium,2
2010-11,critical,1
2010-11,high,3
2011-01,high,1
2011-02,medium,2
2011-03,high,3
2011-04,high,2
2011-05,high,2
2011-06,critical,1
2011-06,medium,1
2011-10,critical,1
2011-10,high,1
2011-12,critical,1
2011-12,medium,1
2012-01,critical,2
2012-02,high,2
2012-02,medium,1
2012-04,high,1
2012-05,critical,1
2012-05,medium,1
2012-06,critical,2
2012-06,high,3
2012-06,medium,1
2012-07,critical,1
2012-07,high,1
2012-08,critical,1
2012-08,high,2
2012-08,medium,1
2012-09,high,2
2012-10,critical,2
2012-10,medium,1
2012-11,high,2
2012-12,critical,1
2012-12,high,2
2013-01,critical,3
2013-01,high,3
2013-01,medium,2
2013-02,critical,1
2013-02,high,5
2013-03,high,3
2013-03,medium,1
2013-04,low,1
2013-05,critical,1
2013-05,high,1
2013-06,critical,1
2013-06,high,1
2013-07,critical,1
2013-07,high,2
2013-08,critical,1
2013-09,high,1
2013-10,high,1
2013-10,medium,1
2013-11,high,1
2013-12,high,1
2014-01,high,1
2014-02,critical,1
2014-02,high,2
2014-02,medium,1
2014-03,high,1
2014-03,medium,1
2014-04,critical,1
2014-08,critical,1
2014-08,high,2
2014-10,high,1
2014-10,low,1
2014-11,high,2
2014-12,high,1
2015-01,critical,1
2015-01,high,1
2015-02,critical,1
2015-02,medium,1
2015-04,critical,1
2015-04,high,2
2015-04,low,1
2015-05,high,1
2015-05,low,1
2015-06,critical,1
2015-06,high,2
2015-07,critical,4
2015-07,high,3
2015-07,medium,1
2015-08,critical,1
2015-08,high,3
2015-08,medium,1
2015-09,high,1
2015-10,high,1
2015-10,medium,1
2015-11,critical,3
2015-12,critical,1
2015-12,high,18
2015-12,medium,2
2016-01,critical,11
2016-01,high,22
2016-01,medium,28
2016-02,critical,5
2016-02,high,57
2016-02,medium,18
2016-03,critical,5
2016-03,high,65
2016-03,low,2
2016-03,medium,17
2016-04,critical,15
2016-04,high,68
2016-04,low,7
2016-04,medium,68
2016-05,critical,90
2016-05,high,65
2016-05,low,1
2016-05,medium,8
2016-06,critical,14
2016-06,high,61
2016-06,medium,12
2016-07,critical,50
2016-07,high,153
2016-07,low,18
2016-07,medium,114
2016-08,critical,7
2016-08,high,24
2016-08,low,1
2016-08,medium,17
2016-09,critical,16
2016-09,high,82
2016-09,low,4
2016-09,medium,31
2016-10,critical,88
2016-10,high,93
2016-10,low,13
2016-10,medium,96
2016-11,critical,4
2016-11,high,41
2016-11,low,4
2016-11,medium,12
2016-12,critical,5
2016-12,high,57
2016-12,medium,29
2017-01,critical,11
2017-01,high,190
2017-01,low,14
2017-01,medium,86
2017-02,critical,4
2017-02,high,65
2017-02,medium,34
2017-03,critical,5
2017-03,high,54
2017-03,medium,37
2017-04,critical,19
2017-04,high,160
2017-04,low,24
2017-04,medium,127
2017-05,critical,5
2017-05,high,65
2017-05,medium,33
2017-06,critical,27
2017-06,high,53
2017-06,medium,36
2017-07,critical,9
2017-07,high,65
